# Copyright (c) 1966-2018 Johns Hopkins University. Use of this file adheres to the terms specified at https://omim.org/help/agreement.
# Generated: 2018-10-22
# See end of file for additional documentation on specific fields
# Sort	Month	Day	Year	Cyto Location	Gene Symbols	Confidence (deprecated)	Gene Name	MIM Number	Mapping Method	Comments	Phenotypes	Mouse Gene Symbol
6.407	5	31	05	6p21.31	FKBP5, FKBP51		FK506-binding protein 5	602623	REc		{Major depressive disorder and accelerated response to antidepressant drug treatment}, 608516 (3)	
6.408	1	20	11	6p21.2	GLO1		Glyoxalase I	138750	F, S, Fd	~3cM proximal to HLA		17(Glo1)
6.409	10	23	87	6p21.3-p21.2	LAP		Laryngeal adductor paralysis	150270	F	?linkage to HLA and GLO1	?Laryngeal adductor paralysis (2)	
6.410	12	4	95	6p21.31	MAPK14, CSBP1		Mitogen-activated protein kinase 14 (cytokine suppressive anti-inflammatory drug binding protein 1)	600289	Psh, A			
6.411	5	29	12	6p21.3-p21.2	MPVQTL4		Mean platelet volume quantitative trait locus 4	614644	Fd	associated with rs210134	Mean platelet volume QTL4 (2)	
6.412	11	5	92	6p21.31	TCP11, D6S230E		T-complex homolog tcp-11	186982	REa, R, A, REc	expressed only in testis at same time as ZNF76 (day 20 after birth)		17(tcp11)
6.413	11	5	92	6p21.31	ZNF76, D6S229E		Zinc finger protein-76 (expressed in testis)	194549	REa, R, A, REc	same 300kb fragment as TCP11		17(Znf76)
6.414	10	11	99	6p21.33	LST1, D6S49E, B144		Leukocyte-specific transcript 1 (B144 protein)	109170	RE, REn	10kb 3' from TNFA		
6.415	3	27	90	6p21.1	PGC		Preprogastricsin	169740	REa, F, REb	cen-PGG-GLO1-HLA		17(Upg1)
6.416	8	12	91	6p21.1	TCTE1		T-complex-associated-testis-expressed-1	186975	A, Fd			
6.417	3	7	13	6p21.2	AD17		Alzheimer disease 17	615080	Fd	associated with rs75932628T	Alzheimer disease 17 (2)	
6.418	11	20	15	6p21.2	C6orf89, BRAP, AMFION		Bombesin receptor-activated protein	616642	REc			
6.419	2	4	15	6p21.2	CMTR1, MTR1, ISG95, FTSJD2, KIAA0082		CAP methyltransferase 1	616189	REc, R			
6.420	9	10	09	6p21.2	DAAM2, KIAA0381		Dishevelled-associated activator of morphogenesis 2	606627	R, REc			
6.421	11	11	14	6p21.2	FGD2		FYVE, RhoGEF, and PH domain-containing protein 2	605091	R, H			17(Fgd2)
6.422	7	15	09	6p21.2-p21.1	LRFN2, SALM1, KIAA1246		Leucine-rich repeat and fibronectin type III domain-containing protein 2	612808	R, REc, H			17(Lrfn2)
6.423	11	23	16	6p21.2	PANDAR		Promoter of CDKN1A antisense DNA damage-activated RNA	617179	REn, REc			
6.424	11	6	92	6p21.2	PIM1		Oncogene PIM1	164960	REa, D, Fd			17(Pim1)
6.425	10	17	95	6p21.2	CDKN1A, WAF1, CIP1, CDKN1		Cyclin-dependent kinase inhibitor 1A (p21, Cip1)	116899	A			17(Waf1)
6.426	9	7	12	6p21.2	MTCH1, PSAP		Mitochondrial carrier homolog 1	610449	REc, R			
6.427	3	29	16	6p21.2	TBC1D22B, C6orf197		TBC1 domain family, member 22B	616880	REc			
6.428	6	2	15	6p21.2	TP53COR1		Tumor protein p53 pathway corepressor 1, noncoding	616343	REc			17(Tp53cor1)
6.429	12	11	02	6p21.1	TREM2		Triggering receptor expressed on myeloid cells 2	605086	REa		Nasu-Hakola disease, 221770 (3)	
6.430	4	30	09	6p12.3	CRISP1, AEGL1		Cysteine-rich secretory protein 1	601193	A			17(Aeg1)
6.431	5	22	18	6p21.1	GTPBP2, JABELS		GTP-binding protein 2	607434	A, R, REc		Jaberi-Elahi syndrome, 617988 (3)	17(Gtpbp2)
6.432	11	22	02	6p21.2	KCNK16, TALK1		Potassium channel, subfamily K, member 16	607369	REc			
6.433	11	22	02	6p21.2	KCNK17, TASK4, TALK2		Potassium channel, subfamily K, member 17	607370	REc			
6.434	1	16	96	6p12.3	MEP1A		Meprin A, alpha	600388	REa, R, REc, Fd			17(Mep1a)
6.435	9	23	96	6p21.31	PPARD, NUC1		Peroxisome proliferative activated receptor, delta	600409	Psh, A			
6.436	1	29	01	6p21.1	SLC22A7, OAT2		Solute carrier family 22 (organic anion transporter), member 7	604995	R			
6.437	3	5	98	6p21.1	SLC29A1, ENT1		Solute carrier family 29 (nucleoside transporters), member 1 (equilibrative nucleoside transporter-1)	602193	A			
6.438	3	6	14	6p21.2	TDRG1, LINC00532		Testis development-related gene 1, noncoding	615676	REc			
6.439	12	23	05	6p21.1	YIPF3, KLIP1		YIP1 domain family, member 3	609775	R			
6.440	10	18	11	6p12.3	PLA2G7, PAFAH, PAFAD		Phospholipase A2, group VII (platelet-activating factor acetylhydrolase)	601690	A		Platelet-activating factor acetylhydrolase deficiency, 614278 (3); {Asthma, susceptibility to}, 600807 (3); {Atopy, susceptibility to}, 147050 (3)	
6.441	2	18	96	6p22.1	ZNF165, LD65		Zinc finger protein-165	600834	REa, A, REc			
6.442	8	11	14	6p21.1	AARS2, KIAA1270, MTALARS, COXPD8, LKENP		Alanyl-tRNA synthetase 2	612035	R, REc		Combined oxidative phosphorylation deficiency 8, 614096 (3); Leukoencephalopathy, progressive, with ovarian failure, 615889 (3)	
6.443	12	24	08	6p21.1	ABCC10, MRP7		ATP-binding cassette, subfamily C, member 10	612509	Psh, R, REc, A			
6.444	6	18	99	6p21.1	BYSL		By the ribosomal protein S6 gene, Drosophila, homolog-like (bystin)	603871	A			
6.445	4	17	14	6p21.1	CUL7, 3M1		Cullin 7	609577	REa, Fd		3-M syndrome 1, 273750 (3)	
6.446	6	13	12	6p21.1	CUL9, PARC, KIAA0708		Cullin 9	607489	REc			
6.447	6	26	16	6p21.1	ENPP4, NPP4, KIAA0879		Ectonucleotide pyrophosphatase/phosphodiesterase 4	617000	R, REc			
6.448	6	26	16	6p21.1	ENPP5, NPP5		Ectonucleotide pyrophosphatase/phosphodiesterase 5	617001	REc			
6.449	9	15	10	6p21.1	FOXP4		Forkhead box P4	608924	REc			
6.450	4	28	10	6p21.1	GUCA1A, GCAP, COD3, CORD14		Guanylate cyclase activator 1A, retina	600364	Psh, A		Cone dystrophy-3, 602093 (3); Cone-rod dystrophy 14, 602093 (3)	
6.451	3	24	11	6p21.1	GUCA1B, GCAP2, GUCA2, RP48		Guanylate cyclase activator 1B, retina	602275	REa, A		Retinitis pigmentosa 48, 613827 (3)	
6.452	9	8	08	6p21.1	HSP90AB1, HSPCB, HSPC2, HSP90B		Heas-shock protein, 90kD, alpha, class B, member 1	140572	Psh, REn			
6.453	8	19	13	6p21.1	KLHDC3, PEAS		KELCH domain-containing protein 3	611248	REc			17(Klhdc3)
6.454	10	09	18	6p21.1	MAD2L1BP		MAD2L1-binding protein	618136	REc			
6.455	7	22	09	6p21.1	MED20, TRFP		Mediator complex subunit 20	612915	REc			
6.456	12	28	08	6p21.1	NCR2, LY95, NKP44		Natural cytotoxicity triggering receptor 2 (lymphocyte antigen 95, mouse, homolog of)	604531	REa, REc			17(Ncr2)
6.457	10	18	15	6p21.1	NFKBIE, IKBE		Nuclear factor of kappa light chain gene enhancer in B cells inhibitor, epsilon	604548	REc			
6.458	10	26	15	6p21.1	PEX6, PXAAA1, PAF2, PBD4A, PDB4B, HMLR2		Peroxisomal biogenesis factor 6 (peroxisomal AAA-type ATPase 1)	601498	REa, H, A		Peroxisome biogenesis disorder 4A (Zellweger), 614862 (3); Peroxisome biogenesis disorder 4B, 614863 (3); Heimler syndrome 2, 616617 (3)	17(Pxaaa1)
6.459	5	28	99	6p21.2	PPIL1, CYPL1		Peptidylprolyl isomerase (cyclophilin)-like 1	601301	A, R	previously assigned to chr.2		
6.460	5	12	15	6p21.1	PPP2R5D, MRD35		Protein phosphatase-2, regulatory subunit B (B56), delta isoform	601646	A		Mental retardation, autosomal dominant 35, 616355 (3)	
6.461	11	30	10	6p21.1	PPR1		Photoparoxysmal response 1	132100	Fd	max lod at D6S2427	Photoparoxysmal response 1 (2)	
6.462	4	21	17	6p21.1	RPL7L1		Ribosomal protein L7-like 1	617417	REc			
6.463	9	29	10	6p21.1	RRP36, C6orf153		Ribosomal RNA-processing factor, 36	613475	REc			
6.464	3	19	09	6p21.1	RSPH9, CILD12		Radial spoke head 9, Chlamydomonas, homolog of	612648	REc		Ciliary dyskinesia, primary, 12, 612650 (3)	
6.465	10	2	12	6p21.1	SRF		Serum response factor	600589	REc			
6.466	11	22	13	6p21.1	SUPT3H, SPT3		Suppressor of Ty 3, S. cerevisiae, homolog of	602947	REc			
6.467	8	18	14	6p21.1	TBCC, CFC		Tubulin-specific chaperone C	602971	REc			
6.468	3	23	09	6p21.1	TJAP1, PILT, TJP4		Tight junction-associated protein 1	612658	REc			
6.469	1	12	15	6p21.1	TOMM6, TOM6		Translocase of outer mitochondrial membrane 6, yeast, homolog of	616168	REc			
6.470	8	19	13	6p21.1	TRERF1, TREP132		Transcriptional regulating factor 1	610322	REc, R			
6.471	12	28	08	6p21.1	TREM1		Triggering receptor expressed on myeloid cells 1	605085	REa			17(Trem1)
6.472	12	28	08	6p21.1	TREML1, TLT1		Triggering receptor expressed on myeloid cells-like protein 1	609714	REc, H			17(Treml1)
6.473	12	28	08	6p21.1	TREML2, TLT2		Triggering receptor expressed on myeloid cells-like protein 2	609715	REc, H			17(Treml2)
6.474	12	28	08	6p21.1	TREML3, TLT3		Triggering receptor expressed on myeloid cells-like protein 3	609716	REc, H			17(Treml3)
6.475	4	1	08	6p21.1	UBR2, C6orf133, KIAA0349		Ubiquitin-protein ligase E3 component N-recognin 2	609134	R, A, H			17(Ubr2)
6.476	4	26	17	6p21.1	UNC5CL, ZUD		Unc5 family C-terminal-like protein	617464	REc			
6.477	12	23	05	6p21.1	XPO5, KIAA1291		Exportin 5	607845	R, REc			
6.478	6	12	17	6p21.1	ZNF318, TZF, ZFP318		Zinc finger protein 318	617512	REc			
6.479	11	24	14	6p21.1	CLIC5, DFNB103		Chloride intracellular channel 5	607293	REc	mutation identified in 1 DFNB103 family	?Deafness, autosomal recessive 103, 616042 (3)	
6.480	4	23	08	6p21.1	MRPS10		Mitochondrial ribosomal protein S10	611976	REc	5 pseudogenes on chromosomes 1, 3, and 9		
6.481	7	3	06	6p12.3	TFAP2D, TFAP2BL1		Transcription factor AP2-delta	610161	REc			
6.482	2	21	03	6p21.1-p12.2	MGR3		Migraine with or without aura, susceptibility to, 3	607498	Fd	lod 5.78 at D6S452	{Migraine with or without aura, susceptibility to, 3} (2)	
6.483	6	25	97	6p21.1	PTK7		PTK7 protein tyrosine kinase 7	601890	REa, A			
6.484	4	19	02	6p12.3	PGK2		Phosphoglycerate kinase-2 (testicular PGK)	172270	REa, A, REb	pseudogene on chr.12		17(Pgk2)
6.485	1	23	01	6p21.1	POLH, XPV		Polymerase, DNA, eta	603968	R, REa, A		Xeroderma pigmentosum, variant type, 278750 (3)	
6.486	5	7	01	6p12.3	CYP39A1		Cytochrome P450, subfamily XXXIXA (oxysterol 7-alpha-hydroxylase), polypeptide 1	605994	R			17(Cyp39a1)
6.487	5	17	18	6p12.3	RHAG, RH50A, OHST, RHNR		Rhesus blood group-associated glycoprotein	180297	REa, A		Anemia, hemolytic, Rh-null, regulator type, 268150 (3); Overhydrated hereditary stomatocytosis, 185000 (3)	
6.488	7	19	18	6p21.1	PRPH2, DS, RP7, PRPH, AVMD, AOFMD, CACD2, MDBS1		Peripherin 2, mouse, homolog of	179605	REa, A	digenic RP with ROM1	Retinitis pigmentosa 7 and digenic form, 608133 (3); Leber congenital amaurosis 18, 608133 (3); Macular dystrophy, patterned, 1, 169150 (3); Retinitis punctata albescens, 136880 (3); Choroidal dystrophy, central areolar 2, 613105 (3); Macular dystrophy, vitelliform, 3, 608161 (3)	17(rds)
6.489	1	29	01	6p21.1	APOBEC2		Apolipoprotein B mRNA editing enzyme, catalytic polypeptide 2	604797	R, H			17(Apobec2)
6.490	7	16	09	6p21.2	BTBD9, KIAA1880		BTB/POZ domain-containing protein 9	611237	REc			
6.491	7	12	92	6p21.1	CCND3		Cyclin D3	123834	REa, A	pseudogene also on 6p21		
6.492	8	11	98	6p21.1	CDC5L		Cell division cycle 5, S. pombe, homolog-like	602868	REc, A			
6.493	10	20	99	6p21.2	CPNE5, CPN5		Copine V	604209	REc			
6.494	9	5	07	6p21.2	DNAH8, HDHC9		Dynein, axonemal, heavy chain 8	603337	REc			
6.495	8	25	04	6p21	EJM3		Epilepsy, juvenile myoclonic 3	608816	Fd		Epilepsy, juvenile myoclonic 3 (2)	
6.496	7	22	09	6p21.31	ETV7, TEL2, TELB		ETS variant gene 7	605255	A, REc			
6.497	5	9	95	6p21.2	GLP1R		Glucagon-like peptide 1 receptor	138032	A			17(Glp1r)
6.498	5	23	11	6p21.31	HMGA1, HMGIY		High-mobility group AT-hook 1	600701	Psh, R		{Diabetes mellitus, noninsulin-dependent, susceptibility to}, 125853 (3)	
6.499	9	30	02	6p21.31	IHPK3, INSP6K3, IP6K3		Inositol hexaphosphate kinase 3	606993	REc	pseudogene on 6p24.1		
6.500	6	18	99	6p21.2	KCNK5, TASK2		Potassium channel, subfamily K, member 5	603493	R			
6.501	4	26	11	6p21.2	KIF6		Kinesin family member 6	613919	REc			
6.502	4	29	02	6p21	LATD		Laterality defects, autosomal dominant	601086	Fd	max lod 2.95 at theta = 0		
6.503	3	31	09	6p22.1	MAS1L, MRG		MAS1 oncogene-like	607235	REc			
6.504	10	4	05	6p21.2	MDGA1, GPIM		MAM domain-containing glycosylphosphatidylinositol anchor 1	609626	REc			
6.505	7	6	00	6p21.1	MDFI		MYOD family inhibitor	604971	R			17(Mdfi)
6.506	5	31	05	6p12.3	MUT, MCM		Methylmalonyl Coenzyme A mutase	609058	REa, A, F, D		Methylmalonic aciduria, mut(0) type, 251000 (3)	17(Mut)
6.507	12	27	01	6p21.31	PACSIN1, KIAA1379		Protein kinase C and casein kinase substrate in neurons 1	606512	R			
6.508	7	16	09	6p21	RLS6		Restless legs syndrome, susceptibility to, 6	611185	Fd	associated with rs9296249 and rs9357271	{Restless legs syndrome 6} (2)	
6.509	1	13	09	6p22.1	RPP21		Ribonuclease P/MRP, 21kD subunit	612524	REc			
6.510	3	15	13	6p21.1	RUNX2, CBFA1, PEBP2A1, AML3, CCD, CLCD		Runt-related transcription factor 2	600211	A, REc, Ch, Fd		Cleidocranial dysplasia, 119600 (3); Cleidocranial dysplasia, forme fruste, with brachydactyly, 119600 (3); Cleidocranial dysplasia, forme fruste, dental anomalies only, 119600 (3); Metaphyseal dysplasia with maxillary hypoplasia with or without brachydactyly, 156510 (3)	17(Cbfa1)
6.511	4	27	12	6p21.33	SKIV2L, SKI2, SKI2W, THES2		Superkiller viralicidic activity 2, S. cerevisiae, homolog, like	600478	A		Trichohepatoenteric syndrome 2, 614602 (3)	
6.512	12	19	11	6p21.3-p21.2	SRSF3, SFRS3, SRP20		Splicing factor, arginine/serine-rich, 3	603364	R, REc			17(Sfrs3)
6.513	9	10	09	6p21.31	STK38, NDR		Serine/threonine protein kinase 38	606964	R, REc			
6.514	10	1	95	6p21.1	TFEB, TCFEB		Transcription factor EB	600744	H			17(Tcfeb)
6.515	5	29	12	6p21.1	TREML4, TLT4		Triggering receptor expressed on myeloid cells-like protein 4	614664	REc			17(Treml4)
6.516	4	20	17	6p12.3	ADGRF1, GPR110		Adhesion G protein-coupled receptor F1	617430	REc			
6.517	9	1	16	6p12.3	ADGRF4, GPR115		Adhesion G protein-coupled receptor F4	614268	REc			
6.518	10	8	07	6p12.3	CENPQ		Centromeric protein Q	611506	REc			
6.519	7	25	18	6p12.3	CRISP3, SGP28		Cysteine-rich secretory protein 3	618062	REc			
6.520	8	21	12	6p12.3	GLYATL3		Glycine N-acyltransferase-like 3	614763	REc			
6.521	4	6	18	6p12.1	ICK, MRK, KIAA0936, ECO, EJM10		Intestinal cell kinase	612325	R, REc		Endocrine-cerebroosteodysplasia, 612651 (3); {Epilepsy, juvenile myoclonic, susceptibility to, 10}, 617924 (3)	
6.522	3	7	14	6p12.3	OPN5, GRP136, PGR12		Opsin 5	609042	REc			
6.523	4	21	16	6p12.3	PTCHD4, PTCH53, C6orf138		Patched domain-containing protein 4	616908	REc			
6.524	9	24	08	6p12.3	RCAN2, ZAKI4, DSCR1L1, MCIP2, CSP2		Regulator of calcineurin 2	604876	R, REc			
6.525	7	8	11	6p12.3	SLC25A27, UCP4		Solute carrier family 25, member 17	613725	REc			
6.526	5	26	13	6p12.3	TDRD6		TUDOR domain-containing protein 6	611200	REc			
6.527	10	29	03	6p12.1	LRRC1, LANO		Leucine-rich repeat-containing protein 1	608195	REc			
6.528	8	7	17	6p12.3-p12.2	FCYT, PKHD1, ARPKD, PKD4		Fibrocystin	606702	Fd, H, REc		Polycystic kidney disease 4, with or without hepatic disease, 263200 (3)	13(Pkhd1)
6.529	3	24	06	6p12.1	COL21A1		Collagen, type XXI, alpha-1 polypeptide	610002	R, REc			
6.530	9	9	08	6p12.1	FBXO9, FBX9		F-box only protein 9	609091	REc			9(Fbxo9)
6.531	3	6	94	6p12.2	GSTA1		Glutathione S-transferase A1	138359	REn, REc			
6.532	12	6	91	6p12.2	GSTA2, GST2		Glutathione S-transferase A2	138360	A, REa			9(Gsta)
6.533	3	11	03	6p12.2	GSTA3		Glutathione S-transferase, alpha-3	605449	R, REc			
6.534	3	11	03	6p12.2	GSTA4		Glutathione S-transferase, alpha-4	605450	A, REc			
6.535	3	10	03	6p12.2	GSTA5		Glutathione S-transferase, alpha-5	607605	REc			
6.536	11	16	98	6p12.2	IL17A, IL17, CTLA8		Interleukin-17a	603149	A, REc	previously mapped to 2q31		1(Il17)
6.537	12	12	12	6p12.2	LINCMD1		Long intergenic noncoding RNA, muscle differentiation 1	614933	REc			
6.538	3	20	16	6p12.2	TMEM14A		Transmembrane protein 14A	616870	REc			
6.539	3	23	09	6p12.2	MIR133B, MIRN133B		Micro RNA 133B	610946	REc			
6.540	3	23	09	6p12.2	MIR206, MIRN206		Micro RNA 206	611599	REc			1(Mirn206)
6.541	8	8	13	6p12.2	TRAM2, KIAA0057		Translocation-associated membrane protein 2	608485	REc, Psh			
6.542	11	19	11	6p12.2-q12	MRT24		Mental retardation, autosomal recessive 24	614345	Fd	between rs651733 and rs1508668	Mental retardation, autosomal recessive 24 (2)	
6.543	9	1	09	6p12.1	BMP5		Bone morphogenetic protein-5	112265	REa, REc			
6.544	3	31	15	6p12.1	GCM1, GCMA		Glial cells missing, Drosophila, homolog of, 1	603715	A, REc			
6.545	1	30	18	6p12.1	GFRAL, GRAL		GDNF family receptor alpha-like protein	617837	REc			
6.546	9	27	17	6p12.1	HCRTR2, OX2R		Hypocretin receptor 2	602393	REc, R			
6.547	9	8	11	6p12.1	MLIP, C6orf142		Muscular LMNA-interating protein	614106	REc			
6.548	12	7	04	6p12.2	RN7SK, 7SK		RNA, 7SK small nuclear	606515	REa			
6.549	3	25	14	6p12.1	ZNF451, COASTER		Zinc finger protein 451	615708	REc			
6.550	3	8	07	6p21.1	SLC35B2, PAPST1, SLL		Solute carrier family 35 (3'-phosphoadenosine 5')-phosphosulfate transporter), member B2	610788	REc			
6.551	4	19	12	6p12.2	PAQR8, C6orf33, LMPB1, MPRB		Progestin and ADIPOQ receptor family, member 8	607780	REn			
6.552	1	29	01	6p21.1	CAPN11		Calpain 11	604822	REa, R			
6.553	10	28	08	6p12.3	CD2AP, CMS		CD2-associated protein	604241	R, REc		Glomerulosclerosis, focal segmental, 3, 607832 (3)	
6.554	4	30	09	6p12.3	CRISP2, TPX1, TSP1		Cysteine-rich secretory protein 2	187430	REa			17(Tpx1)
6.555	5	23	13	6p12.3	DEFB114, DEFB14		Defensin, beta, 114	615243	REc			
6.556	9	20	14	6p12.1	ELOVL5, HELO1, SCA38		Elongation of very long chain fatty acids-like 5	611805	REc		Spinocerebellar ataxia 38, 615957 (3)	
6.557	1	6	09	6p12.1	GCLC, GLCLC		Glutamate-cysteine ligase, catalytic subunit	606857	REa, Psh, A, Fd		Hemolytic anemia due to gamma-glutamylcysteine synthetase deficiency, 230450 (3); {Myocardial infarction, susceptibility to}, 608446 (3)	9(Glclc)
6.558	1	24	02	6p21.1	GNMT		Glycine N-methyltransferase	606628	A		Glycine N-methyltransferase deficiency, 606664 (3)	
6.559	6	22	15	6p12.2	IL17F, ML1, CANDF6		Interleukin 17F	606496	R	mutation identified in 1 CANDF6 family	?Candidiasis, familial, 6, autosomal dominant, 613956 (3)	
6.560	2	7	07	6p12.1	KLHL31, KLHL		Kelch-like 31	610749	REc, H			9(Klhl31)
6.561	11	4	98	6p12.2	MCM3		Minichromosome maintenance, S. cerevisiae, homolog of, 3	602693	A			
6.562	4	16	14	6p12	NYS2, NYSA		Nystagmus 2, congenital, autosomal dominant	164100	Fd		Nystagmus 2, congenital, autosomal dominant (2)	
6.563	7	14	16	6p12.3	TFAP2B, CHAR, PDA2		Transcription factor AP-2 beta (activating enhancer-binding protein 2 beta)	601601	A, Fd		Char syndrome, 169100 (3); Patent ductus arteriosus 2, 617035 (3)	1(Tfap2b)
6.564	2	18	09	6p21.1	VEGF, MVCD1		Vascular endothelial growth factor	192240	A		{Microvascular complications of diabetes 1}, 603933 (3)	
6.565	3	3	03	6p12.1	TINAG, TIN1, TIN2		Tubulointerstitial nephritis antigen	606749	A			
6.566	10	1	95	6p11.2	PRIM2A		Primase polypeptide 2A, 58kD	176636	Psh, A			2(Prim2)
6.567	7	30	14	6p12.1	DST, BPAG1, DMH, D6S1101, HSAN6, EBSB2		Dystonin (bullous pemphigoid antigen 1)	113810	A, REa	?mutation identified in 1 HSAN6 family	?Neuropathy, hereditary sensory and autonomic, type VI, 614653 (3); Epidermolysis bullosa simplex, autosomal recessive 2, 615425 (3)	1(Bpag1)
6.568	10	6	09	6p12.2	EFHC1, FLJ10466, EJM1, JAE, EJA1		EF hand domain (C-terminal)-containing 1	608815	REc		{Myoclonic epilepsy, juvenile, susceptibility to, 1}, 254770 (3); {Epilepsy, juvenile absence, susceptibility to, 1}, 607631 (3)	
6.569	7	22	13	6p12-q12	CTRCT28, ARCC1		Cataract 28	609026	Fd		{Cataract 28, age-related cortical, susceptibility to} (2)	
6.570	5	25	13	6p12.1	BAG2		BCL2-associated athanogene 2	603882	REc			
6.571	10	30	03	6p11	AITD1		Autoimmune thyroid disease, susceptibility to, 1	608173	Fd		{Autoimmune thyroid disease, susceptibility to, 1} (2)	
6.572	5	31	07	6p12.1-p11.2	RAB23		Ras-associated protein RAB23	606144	REc, Fd		Carpenter syndrome, 201000 (3)	
6.573	10	23	87	6p	CSCI		Corticosterone side-chain isomerase	122550	H	?linked to MHC		
6.574	3	29	10	6p21.31	RPS10, DBA9		Ribosomal protein S10	603632	R, RE		Diamond-Blackfan anemia 9, 613308 (3)	
6.575	4	14	05	6q	BPPV		Vertigo, benign paroxysmal positional	193007	Fd	max lod at D6S1556	Vestibulopathy, familial (2)	
6.576	8	9	99	6q23.2	RPS12		Ribosomal protein S12	603660	Psh, R			
6.577	8	31	10	6q11-q14	DEL6q11q14, C6DELq11q14		Chromosome 6q11-q14 deletion syndrome	613544	Ch	contiguous gene deletion syndrome	Chromosome 6q11-q14 deletion syndrome (4)	
6.578	5	24	13	6q11.1	KHDRBS2, SLM1		KH domain-containing, RNA-binding, signal transduction-associated protein 2	610487	REc			
6.579	9	30	04	6q12	ADHD3		Attention deficit-hyperactivity disorder, susceptibility to, 2	608905	Fd		{Attention deficit-hyperactivity disorder}, 143465 (2)	
6.580	9	1	16	6q12-q13	ADGRB3, BAI3		Adhesion G protein-coupled receptor B3	602684	A			
6.581	9	5	03	6q14.1	COX7A2		Cytochrome c oxidase, subunit VIIa, polypeptide-2, liver	123996	R	previously thought to be on chr.4		
6.582	11	20	08	6q12	EYS, RP25		Eyes shut, Drosophila, homolog of	612424	Fd, REc		Retinitis pigmentosa 25, 602772 (3)	
6.583	10	23	87	6q14.2	ME1		Malic enzyme, cytoplasmic	154250	S			9(Mod1)
6.584	6	27	14	6q14.1	PGM3, AGM1, IMD23		Phosphoglucomutase-3 (N-acetylglucosamine-phosphate mutase 1)	172100	S, F, OT, REa		Immunodeficiency 23, 615816 (3)	9(Pgm3)
6.585	5	22	03	6q12	PHF3, KIAA0244		PHD finger protein 3	607789	A, R			
6.586	3	1	01	6q12	PTP4A1, HH72, PRL1		Protein tyrosine phosphatase, type 4A, 1	601585	A			
6.587	12	4	03	6q13	DDX43, HAGE		DEAD/H box 43	606286	R			
6.588	10	11	07	6q13	RIMS1, RIM1, RIM, KIAA0340, CORD7		Regulating synaptic membrane exocytosis 1	606629	R, REc, Fd		Cone-rod dystrophy 7, 603649 (3)	
6.589	3	2	01	6q13	COL19A1, D6S228E, COL9A1L		Collagen XIX, alpha-1 polypeptide	120165	A, REa			1(Col19a1)
6.590	11	19	11	6q12-q15	MRT30		Mental retardation, autosomal recessive 30	614342	Fd	between rs4612125 and rs285651	Mental retardation, autosomal recessive 30 (2)	
6.591	1	30	01	6q12-q16	CMD1K		Cardiomyopathy, dilated, 1K	605582	Fd		Cardiomyopathy, dilated, 1K (2)	
6.592	5	29	91	6q14.3	CGA		Chorionic gonadotropin, alpha polypeptide	118850	REa, A	shared with LH, FSH, TSH		4(Tsha)
6.593	1	11	07	6q13	CD109		CD109 antigen	608859	REc			
6.594	12	8	14	6q13	COL9A1, EDM6, STL4		Collagen IX, alpha-1 polypeptide	120210	A	mutation identified in 1 EDM6 family	?Epiphyseal dysplasia, multiple, 6, 614135 (3); Stickler syndrome, type IV, 614134 (3)	1(Col9a1)
6.595	8	22	07	6q13	DPPA5, ESG1		Developmental pluripotency-associated gene 5	611111	R, REc			
6.596	3	3	03	6q13	GLCATS, KIAA1963		UDP-glucuronyltransferase S	607497	REc			1(Glcats)
6.597	8	20	92	6q14.1	HTR1B		5-hydroxytryptamine (serotonin) receptor-1B	182131	REa, A			
6.598	1	2	08	6q13	KHDC1		KH homology domain-containing protein 1	611688	REc			1(Khdc1)
6.599	3	7	13	6q13	KHDC3L, C6orf221, ECAT1, HYDM2		KH domain containing 3-like, subcortical maternal complex member	611687	REc		Hydatidiform mole, recurrent, 2, 614293 (3)	
6.600	10	17	12	6q13	LMBRD1, LMBD1, NESI, MAHCF		LMBR1 domain-containing protein 1	612625	REc		Methylmalonic aciduria and homocystinuria, cblF type, 277380 (3)	
6.601	4	6	18	6q13	CGAS, MB21D1, C6orf150		Cyclic GMP-AMP synthase	613973	REc			
6.602	3	23	09	6q13	MIR30A, MIRN30A		Micro RNA 30A	612329	REc			
6.603	7	18	12	6q13	MTO1, COXPD10		Mitochondrial translation optimization 1, S. cerevisiae, homolog of	614667	REc		Combined oxidative phosphorylation deficiency 10, 614702 (3)	
6.604	1	7	11	6q14.1	MYO6, DFNA22, DFNB37		Myosin VI	600970	A, H, Fd		Deafness, autosomal dominant 22, 606346 (3); Deafness, autosomal recessive 37, 607821 (3); Deafness, autosomal dominant 22, with hypertrophic cardiomyopathy, 606346 (3)	9(Sv, Myo6)
6.605	1	2	08	6q13	OOEP, KHDC2		Oocyte-expressed protein, Dog, homolog of	611689	REc			9(Ooep)
6.606	12	28	08	6q14.1	SENP6, SSP1, SUSP1		Sentrin-specific protease family, member 6	605003	REc, R			
6.607	4	21	16	6q13	SMAP1		Small ADP-ribosylation factor GTPase-activating protein 1	611372	REc			
6.608	10	15	04	6q14.1	IBTK		Inhibitor of Bruton agammaglobulinemia tyrosine kinase	606457	R			
6.609	4	5	18	6q13-q14	COL12A1, UCMD2, BTHLM2, EDSMYP		Collagen, type XII, alpha-1	120320	REc	mutation identified in 1 UCMD2 family	?Ullrich congenital muscular dystrophy 2, 616470 (3); Bethlem myopathy 2, 616471 (3)	
